day_mean_param,momentum_param,half_life,score
20.0,45.0,45.0,0.0314812735
20.0,45.0,55.0,0.0314826447
20.0,45.0,65.0,0.0314836141
20.0,45.0,75.0,0.0314843342
20.0,45.0,85.0,0.0314850401
20.0,45.0,95.0,0.0314862933
20.0,55.0,5.0,0.0307601854
20.0,55.0,15.0,0.0307763175
20.0,55.0,25.0,0.030788731
20.0,55.0,35.0,0.0307951184
20.0,55.0,45.0,0.0307989578
20.0,55.0,55.0,0.0308014653
20.0,55.0,65.0,0.0308032595
20.0,55.0,75.0,0.0308047425
20.0,55.0,85.0,0.0308056973
20.0,55.0,95.0,0.030807321
20.0,65.0,5.0,0.0328027687
20.0,65.0,15.0,0.0328024936
20.0,65.0,25.0,0.0328101759
20.0,65.0,35.0,0.0328143829
20.0,65.0,45.0,0.0328169667
20.0,65.0,55.0,0.0328186975
20.0,65.0,65.0,0.0328198923
20.0,65.0,75.0,0.0328209955
20.0,65.0,85.0,0.0328217161
20.0,65.0,95.0,0.032822969
20.0,75.0,5.0,0.0295176361
20.0,75.0,15.0,0.0295654117
20.0,75.0,25.0,0.0295838648
20.0,75.0,35.0,0.0295928044
20.0,75.0,45.0,0.0295980457
20.0,75.0,55.0,0.0296014751
20.0,75.0,65.0,0.0296038
20.0,75.0,75.0,0.0296057634
20.0,75.0,85.0,0.02960713
20.0,75.0,95.0,0.0296086279
20.0,85.0,5.0,0.0330489324
20.0,85.0,15.0,0.0330974025
20.0,85.0,25.0,0.0331144504
20.0,85.0,35.0,0.0331226072
20.0,85.0,45.0,0.0331273729
20.0,85.0,55.0,0.0331304498
20.0,85.0,65.0,0.0331326695
20.0,85.0,75.0,0.0331342738
20.0,85.0,85.0,0.033135259
20.0,85.0,95.0,0.0331363246
20.0,95.0,5.0,0.0330640815
20.0,95.0,15.0,0.033107899
20.0,95.0,25.0,0.0331236159
20.0,95.0,35.0,0.0331311517
20.0,95.0,45.0,0.0331355518
20.0,95.0,55.0,0.0331383771
20.0,95.0,65.0,0.0331403848
20.0,95.0,75.0,0.0331418125
20.0,95.0,85.0,0.0331423167
20.0,95.0,95.0,0.0331434452
